,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,n,eval_dataset,selection_data_id,data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation,permutation_file,permutation_name,n_datasets,n_permutations,permutations,n_cells
20,0.7339986110484481,0.3439867392874754,0.6686727409548852,0.6172512787872452,50,liver_34,20,20,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_20,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_20,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",21765
21,0.7482473055281016,0.3839033954622655,0.6765612864608384,0.6213543252633034,50,liver_34,21,21,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_21,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_21,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'aad23e04-0dfd-4826-b150-4362f3936849')",20758
22,0.7318702518781726,0.3734367120008984,0.5613602008735632,0.5818894131433787,50,liver_34,22,22,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_22,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_22,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011')",25519
23,0.7063561318162374,0.3228376506231393,0.4687360100656475,0.4994482814423116,50,liver_34,23,23,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_23,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_23,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",23400
24,0.7499709495905201,0.4032250290763259,0.5481403900144114,0.5662601616906101,50,liver_34,24,24,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_24,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_24,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011')",29757
25,0.7176284359822905,0.3136569681621426,0.7072545653753176,0.6235781974839315,50,liver_34,25,25,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_25,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_25,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",17683
26,0.7536441109483166,0.440665612297017,0.6463057587361265,0.6101162928432979,50,liver_34,26,26,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_26,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_26,4,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",21921
27,0.759230539801252,0.4294613434304023,0.724392356740837,0.646269681163151,50,liver_34,27,27,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_27,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_27,5,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011')",34008
28,0.7554852706470364,0.4285284063596779,0.6899984811459452,0.6286660025156282,50,liver_34,28,28,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_28,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_28,5,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'aad23e04-0dfd-4826-b150-4362f3936849')",30726
29,0.7266554355862112,0.3068156232318262,0.6351493991374186,0.5957625521074729,50,liver_34,29,29,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_29,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_29,5,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",27651
30,0.7661441803006792,0.4693876992326377,0.6364694537099428,0.634448452592053,50,liver_34,30,30,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_30,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_30,5,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",26172
31,0.7561900849907818,0.4163435813189989,0.7409708156785422,0.6465951005974346,50,liver_34,31,31,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_31,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_31,5,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",30254
32,0.7600213070761455,0.4757408104344684,0.6512864143894026,0.6325494101025148,50,liver_34,32,32,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_32,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_32,5,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",31889
33,0.7544163841191218,0.4431607716952404,0.7404517660755299,0.6555375319846153,50,liver_34,33,33,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_33,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_33,6,1,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29', '61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011', 'aad23e04-0dfd-4826-b150-4362f3936849')",36140
