,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_10_HLCA_136,0.6871641970370381,0.8990301868941604,0.8265236943907155,0.6871641970370381,0.6871641970370381,0.9156035185802972,0.8933700712503871
spapros_11_HLCA_136,0.7799458331631488,0.8969612868132721,0.8094507844401461,0.7799458331631488,0.7799458331631488,0.903089890451471,0.902193121481765
spapros_7_HLCA_136,0.8582489196254866,0.89830630671413,0.82139898989899,0.8582489196254866,0.8582489196254866,0.924776065409344,0.904968712341468
spapros_1_HLCA_137,0.0291788089819744,0.7477390768546465,0.3789405835660552,0.0291788089819744,0.0291788089819744,0.1236745678410274,0.3392672474440281
spapros_0_HLCA_137,0.0482943135293638,0.8269762220738265,0.6197147502435898,0.0482943135293638,0.0482943135293638,0.6087976754029747,0.5309037507579788
spapros_2_HLCA_137,0.0837089627016293,0.850647645654035,0.7064134784634926,0.0837089627016293,0.0837089627016293,0.6964173977700079,0.6592610125300903
spapros_3_HLCA_137,0.1387385166755471,0.8665168028125281,0.7610311895551256,0.1387385166755471,0.1387385166755471,0.8319894915438617,0.7687671165915304
spapros_4_HLCA_137,0.2723245429603168,0.8855318408298226,0.7880225123576187,0.2723245429603168,0.2723245429603168,0.8702749346539385,0.8525114029412386
spapros_5_HLCA_137,0.4421938858942182,0.8905540053634867,0.821161562432839,0.4421938858942182,0.4421938858942182,0.8907122565541483,0.8753254617083354
spapros_6_HLCA_137,0.6514201140352893,0.8924584342712171,0.8530807006232539,0.6514201140352893,0.6514201140352893,0.9026428786666372,0.8905114765845255
spapros_10_HLCA_137,0.7789460998380053,0.8972007189547881,0.850996024070492,0.7789460998380053,0.7789460998380053,0.8965751464729518,0.8923395116342878
spapros_11_HLCA_137,0.8664514480726803,0.8975817379164693,0.8462322157747689,0.8664514480726803,0.8664514480726803,0.9148760686829452,0.8959320372885491
spapros_7_HLCA_137,0.9220799781220124,0.900570351885983,0.8568786266924564,0.9220799781220124,0.9220799781220124,0.9064466722231136,0.8986586746850851
spapros_1_HLCA_138,0.0240789490980364,0.7678609224123825,0.4751524999448996,0.0240789490980364,0.0240789490980364,0.1429661732259362,0.2851835552308249
spapros_0_HLCA_138,0.0320671495830338,0.8329128193107399,0.6349917189518706,0.0320671495830338,0.0320671495830338,0.5055415255191901,0.4144772624065849
spapros_2_HLCA_138,0.0551473055567069,0.8499934977012915,0.6878172318998784,0.0551473055567069,0.0551473055567069,0.7043089270735654,0.6114443096986903
spapros_3_HLCA_138,0.0820859387759367,0.8640942499025963,0.7174071029806294,0.0820859387759367,0.0820859387759367,0.7981836428541543,0.6944596420959742
spapros_4_HLCA_138,0.1760891042491321,0.878703576432058,0.7609645059682955,0.1760891042491321,0.1760891042491321,0.8818336817155032,0.8274769025251401
spapros_5_HLCA_138,0.3180427437052147,0.8906688514759431,0.7954580915538363,0.3180427437052147,0.3180427437052147,0.8995679062727366,0.8743625052128705
spapros_6_HLCA_138,0.5326632680220456,0.8982601425574301,0.8269242961530197,0.5326632680220456,0.5326632680220456,0.8962911446794126,0.8935020076283516
spapros_10_HLCA_138,0.6744631967065724,0.8967181723860665,0.8181969159681927,0.6744631967065724,0.6744631967065724,0.9171881183980544,0.9003437439825135
spapros_11_HLCA_138,0.7740573976648353,0.8990876777669847,0.8257296367934666,0.7740573976648353,0.7740573976648353,0.912433736546087,0.9011799951193512
spapros_7_HLCA_138,0.8652672942123261,0.9002053718917452,0.8276726842897055,0.8652672942123261,0.8652672942123261,0.920097392586243,0.904124592181592
spapros_1_HLCA_139,0.0360446494950618,0.8317540566079258,0.558464919100526,0.0360446494950618,0.0360446494950618,0.4978546715316094,0.454813819098103
spapros_0_HLCA_139,0.0709460040605546,0.8739305872401291,0.7400107054500521,0.0709460040605546,0.0709460040605546,0.7208810679849704,0.6911203418504342
spapros_2_HLCA_139,0.114540671370463,0.8839874106586929,0.7879882820042954,0.114540671370463,0.114540671370463,0.762062073674556,0.7678731015113577
spapros_3_HLCA_139,0.1914887084004869,0.8885092187789694,0.7888370406189554,0.1914887084004869,0.1914887084004869,0.8170052289722072,0.8247188630026352
spapros_4_HLCA_139,0.3526034676405751,0.8941643471049299,0.8009494949494949,0.3526034676405751,0.3526034676405751,0.8750959212440755,0.8697281420040058
spapros_5_HLCA_139,0.5405944076733794,0.9065398582399576,0.8862045454545454,0.5405944076733794,0.5405944076733794,0.896241221707107,0.8851070901737058
spapros_6_HLCA_139,0.7668610786899671,0.9065412557875332,0.8794050612508059,0.7668610786899671,0.7668610786899671,0.9295738894276598,0.9020101555817368
spapros_10_HLCA_139,0.8742812782558484,0.9061294082199453,0.8704153234472383,0.8742812782558484,0.8742812782558484,0.9074366819714876,0.903513340530652
spapros_11_HLCA_139,0.93336696540595,0.906141613810377,0.8753824414356328,0.93336696540595,0.93336696540595,0.9182982425059574,0.904639756541927
spapros_7_HLCA_139,0.9677443481847312,0.9078946582041044,0.8800832796045561,0.9677443481847312,0.9677443481847312,0.9338348789632338,0.901653086486775
spapros_1_HLCA_140,0.0249221408451059,0.8109472301595504,0.5970056993139559,0.0249221408451059,0.0249221408451059,0.2560139894334211,0.3385795666186538
spapros_0_HLCA_140,0.0439491964716264,0.8597886322162644,0.7136524591288534,0.0439491964716264,0.0439491964716264,0.5617675078489317,0.513700383643638
spapros_2_HLCA_140,0.0860296469203919,0.8821201172026601,0.7585645241526429,0.0860296469203919,0.0860296469203919,0.7015895124121037,0.6714713784087384
spapros_3_HLCA_140,0.1471254343205703,0.8963151825728385,0.831199065119278,0.1471254343205703,0.1471254343205703,0.8137941175878449,0.7764336665014314
spapros_4_HLCA_140,0.2976846152895157,0.8963978346135661,0.8205718085106384,0.2976846152895157,0.2976846152895157,0.880537860306015,0.8496037866138902
spapros_5_HLCA_140,0.4892293143299474,0.9031233961755492,0.8337901353965185,0.4892293143299474,0.4892293143299474,0.9053215310393712,0.8826449603927149
spapros_6_HLCA_140,0.7260205071835016,0.9049850217042346,0.8614582527401676,0.7260205071835016,0.7260205071835016,0.929870924116958,0.8953331326984308
spapros_10_HLCA_140,0.8501864465632795,0.9037941593995557,0.8564960777992694,0.8501864465632795,0.8501864465632795,0.900061239402164,0.9007557609346378
spapros_11_HLCA_140,0.913216627387614,0.9057567485217388,0.8645261121856868,0.913216627387614,0.913216627387614,0.9287363356286436,0.902878536457692
spapros_7_HLCA_140,0.9557308729670824,0.9065267414260306,0.8693647646679562,0.9557308729670824,0.9557308729670824,0.9191487347132964,0.9016586431415142
spapros_1_HLCA_141,0.0260773984895148,0.8062331608864788,0.535035477427343,0.0260773984895148,0.0260773984895148,0.1673943637169044,0.2849349635766233
spapros_0_HLCA_141,0.0443913472903293,0.8566685210768037,0.6797144139526047,0.0443913472903293,0.0443913472903293,0.5459075320355565,0.4686884501963587
spapros_2_HLCA_141,0.0779976502393204,0.8717512749142331,0.7333899845073467,0.0779976502393204,0.0779976502393204,0.7317754629841853,0.6603802075032861
spapros_3_HLCA_141,0.1333957885934581,0.8901267930957287,0.8020258847259901,0.1333957885934581,0.1333957885934581,0.8335981558210783,0.7670485422222247
spapros_4_HLCA_141,0.2834904229339457,0.8981909714571727,0.8262408123791103,0.2834904229339457,0.2834904229339457,0.8868528641804679,0.8466191926354562
spapros_5_HLCA_141,0.4789557587262853,0.9061603032401446,0.8880300881151946,0.4789557587262853,0.4789557587262853,0.8900947810014763,0.8821514355777978
spapros_6_HLCA_141,0.7227257725449392,0.9078417990596878,0.8879166666666667,0.7227257725449392,0.7227257725449392,0.9173423758065882,0.8946021946643683
spapros_10_HLCA_141,0.8556171026657646,0.9089618223151626,0.8942005157962603,0.8556171026657646,0.8556171026657646,0.9177366507731064,0.9011788230596292
spapros_11_HLCA_141,0.9210564060065052,0.907923283690518,0.8762712228669673,0.9210564060065052,0.9210564060065052,0.9327815489240052,0.902066929481122
spapros_7_HLCA_141,0.9585400021876004,0.9066486475538884,0.8737194283258113,0.9585400021876004,0.9585400021876004,0.9238088701381978,0.9007608120120046
spapros_1_HLCA_142,0.0277233946312233,0.7320698867775146,0.3896154897320341,0.0277233946312233,0.0277233946312233,0.2339516900725773,0.3721739854384124
spapros_0_HLCA_142,0.0362512592647208,0.7925570105332922,0.5300605783328463,0.0362512592647208,0.0362512592647208,0.5254601177953586,0.4747285928556783
spapros_2_HLCA_142,0.0552428370546581,0.8278234280211858,0.6741531298047866,0.0552428370546581,0.0552428370546581,0.7180602275772305,0.624291909036714
spapros_3_HLCA_142,0.0794380951512602,0.8482996375932966,0.6907923116766876,0.0794380951512602,0.0794380951512602,0.8206528736393458,0.7248375307083784
spapros_4_HLCA_142,0.1544303975120567,0.8653843544129225,0.7228641867083525,0.1544303975120567,0.1544303975120567,0.8728063710066204,0.8031444263050957
spapros_5_HLCA_142,0.2918290969094153,0.8790000609646329,0.7668356705351387,0.2918290969094153,0.2918290969094153,0.9109510859277116,0.8591155911365874
spapros_6_HLCA_142,0.5204898035592097,0.8887613945814381,0.8064808188265635,0.5204898035592097,0.5204898035592097,0.9227070917717144,0.889364854961106
spapros_10_HLCA_142,0.6586796984871769,0.8906365242017774,0.8041147646679562,0.6586796984871769,0.6586796984871769,0.9404298956239716,0.8998589222442732
spapros_11_HLCA_142,0.7440279215371954,0.8964854208669827,0.8202436062755213,0.7440279215371954,0.7440279215371954,0.942660426499416,0.8981219774481058
