,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_0_HLCA_122,0.5840024858643571,0.510017379994191,0.782091777256166,0.6502263172161085,,,
spapros_0_HLCA_123,0.5622314509663303,0.4997139011100607,0.7933702973226489,0.6896732167952346,,,
spapros_0_HLCA_124,0.6291785747915609,0.5366514386038762,0.805681675538752,0.7317128875359238,,,
spapros_0_HLCA_125,0.5421544405000778,0.4859559351368596,0.79321445842115,0.6798085710263074,,,
spapros_0_HLCA_126,0.5842372020213711,0.5088120857412542,0.7989869376068887,0.6792656607475256,,,
spapros_0_HLCA_127,0.6042470809843346,0.5165403477877482,0.795640609221522,0.6677382180387597,,,
spapros_0_HLCA_128,0.5813051959833597,0.5271439439110525,0.7952619677292356,0.6887768886174924,,,
spapros_0_HLCA_129,0.5738796138039285,0.5037555626493602,0.8061125900830067,0.7574515093764435,,,
spapros_0_HLCA_130,0.5784497446605407,0.5048416702174731,0.8045778659337335,0.7210758384819362,,,
spapros_0_HLCA_131,0.6090940050201377,0.528753664898722,0.7962111058466442,0.6761703450902584,,,
spapros_1_HLCA_132,0.06160167105170931,0.11163989300758739,0.6568011479112643,0.24536896608331363,0.010735323746078588,0.010735323746078588,0.010735323746078588
spapros_0_HLCA_132,0.5877389104534849,0.4950492957412944,0.7450750874910793,0.4737845987467009,0.016341882796902605,0.016341882796902605,0.016341882796902605
spapros_2_HLCA_132,0.6315132234316193,0.5706160298139308,0.80006361831497,0.6759010230140546,0.028423002380159643,0.028423002380159643,0.028423002380159643
spapros_3_HLCA_132,0.7054619426164841,0.6409053505749617,0.8143896837359368,0.7447747471014095,0.05516264522881157,0.05516264522881157,0.05516264522881157
spapros_4_HLCA_132,0.7841434974775898,0.7253731054478744,0.8373358684573058,0.8355851726304787,0.14565278685100036,0.14565278685100036,0.14565278685100036
spapros_5_HLCA_132,0.828111746045769,0.7852774179024156,0.8489720679179994,0.8603001851505492,0.29211468940130203,0.29211468940130203,0.29211468940130203
spapros_6_HLCA_132,0.863304894550057,0.8373665825553835,0.8544016145165595,0.8716198853255261,0.5015568786498364,0.5015568786498364,0.5015568786498364
spapros_10_HLCA_132,0.8826640150153102,0.8629473854942912,0.8563204753902184,0.8764268920950005,0.6530975782170587,0.6530975782170587,0.6530975782170587
spapros_11_HLCA_132,0.8956233001150223,0.8759556516596667,0.8620374860539586,0.8961512463280177,0.762153839842791,0.762153839842791,0.762153839842791
spapros_7_HLCA_132,0.8975394208682466,0.8762943387845489,0.8645658650502941,0.8952455689068968,0.8123710288586827,0.8123710288586827,0.8123710288586827
spapros_1_HLCA_133,0.12871402601672893,0.16601727427628768,0.616539263529134,0.20225587303844061,0.01122149078402682,0.01122149078402682,0.01122149078402682
spapros_0_HLCA_133,0.5182532075923654,0.4895858590268219,0.7373280320681821,0.48846428044447515,0.017070280117973832,0.017070280117973832,0.017070280117973832
spapros_2_HLCA_133,0.6253408261954642,0.5604253381022162,0.7788319001951947,0.6102858744404315,0.03030309231257229,0.03030309231257229,0.03030309231257229
spapros_3_HLCA_133,0.7047769185359585,0.6387048621009248,0.8106910894595876,0.6752820035132465,0.058382564632331636,0.058382564632331636,0.058382564632331636
spapros_4_HLCA_133,0.7729233895418399,0.7140178598112864,0.8429435002265364,0.8170149694845508,0.14456349590685177,0.14456349590685177,0.14456349590685177
spapros_5_HLCA_133,0.8167701216644647,0.7819215120203066,0.8558596835601313,0.8603042822263183,0.29096675251737325,0.29096675251737325,0.29096675251737325
spapros_6_HLCA_133,0.8782954698397829,0.8484891642918126,0.8578688399258625,0.8727937095289913,0.5313776177144336,0.5313776177144336,0.5313776177144336
spapros_10_HLCA_133,0.8991715070313242,0.8693254959500264,0.8627145409119942,0.8856028549106287,0.702392491482234,0.702392491482234,0.702392491482234
spapros_11_HLCA_133,0.8975472848657188,0.8756204716508357,0.8617976338736014,0.8741447460710684,0.8063996056920886,0.8063996056920886,0.8063996056920886
spapros_7_HLCA_133,0.9006825826237985,0.8759938190868913,0.8636960003084387,0.8893237164127404,0.8701249569834603,0.8701249569834603,0.8701249569834603
spapros_1_HLCA_134,0.0882866514744241,0.21047622714554254,0.5342851415697794,0.14151490146803508,0.012605194996833395,0.012605194996833395,0.012605194996833395
spapros_0_HLCA_134,0.5238361840130947,0.5098525575835982,0.6338574213291917,0.29651735472428115,0.02111119629018672,0.02111119629018672,0.02111119629018672
spapros_2_HLCA_134,0.6339422667733796,0.5638114299547359,0.6987098250540716,0.4086927391493621,0.030793637414549786,0.030793637414549786,0.030793637414549786
spapros_3_HLCA_134,0.6875954169310354,0.6139186986497431,0.7488920553379846,0.5588915882604022,0.055178257517802407,0.055178257517802407,0.055178257517802407
spapros_4_HLCA_134,0.7653793347569094,0.6897849035233851,0.7918129397607531,0.646769032100341,0.1199697715128384,0.1199697715128384,0.1199697715128384
spapros_5_HLCA_134,0.8137899821674526,0.7666439569226904,0.8176427832666882,0.7094730129003405,0.22703172138999259,0.22703172138999259,0.22703172138999259
spapros_6_HLCA_134,0.8482984836734011,0.817546274107594,0.8270987843134007,0.7394512814089265,0.41577392139443525,0.41577392139443525,0.41577392139443525
spapros_10_HLCA_134,0.8671044369559138,0.8490111474942921,0.8292491529549949,0.7385187573819059,0.5510811092026415,0.5510811092026415,0.5510811092026415
spapros_11_HLCA_134,0.873446105429536,0.8558114627642064,0.831491370557448,0.7580016988085126,0.6398926964982466,0.6398926964982466,0.6398926964982466
spapros_7_HLCA_134,0.8929762822941025,0.877121909304093,0.8338907721639128,0.7691516022362151,0.766645203557197,0.766645203557197,0.766645203557197
spapros_1_HLCA_135,0.12525644518084647,0.2073671891858707,0.5885442361217543,0.1836218758302633,0.012234423042436656,0.012234423042436656,0.012234423042436656
spapros_0_HLCA_135,0.4676402058734396,0.42911472727477307,0.7408553604825736,0.41324045284256145,0.013559964019915676,0.013559964019915676,0.013559964019915676
spapros_2_HLCA_135,0.6238285089601856,0.5454310970789198,0.7995073111674658,0.619019390230237,0.027018960106577856,0.027018960106577856,0.027018960106577856
spapros_3_HLCA_135,0.7061426928306603,0.6490323670567529,0.8356587777306239,0.7846455831598772,0.05881604368948855,0.05881604368948855,0.05881604368948855
spapros_4_HLCA_135,0.7890352269216172,0.7339811346080483,0.8494005089515001,0.8342218933381381,0.16157204454651583,0.16157204454651583,0.16157204454651583
spapros_5_HLCA_135,0.8368061390908403,0.8034327879267554,0.8594077103706285,0.860491219743009,0.29740608379034683,0.29740608379034683,0.29740608379034683
spapros_6_HLCA_135,0.8797467684642631,0.8459422531202112,0.8598915463634518,0.8886062707046846,0.5289629379457429,0.5289629379457429,0.5289629379457429
spapros_10_HLCA_135,0.896147612462864,0.8703114884978082,0.859797289468434,0.877553037148911,0.6944516090969908,0.6944516090969908,0.6944516090969908
spapros_11_HLCA_135,0.9006741874381421,0.8770443125396262,0.8626584565074253,0.8902494023177574,0.8026208303555387,0.8026208303555387,0.8026208303555387
spapros_7_HLCA_135,0.9037603681696691,0.8764440785928093,0.8633839087816769,0.8937862421364309,0.8582058026160226,0.8582058026160226,0.8582058026160226
spapros_1_HLCA_136,0.07448156702654643,0.31198841698130453,0.6903225604451644,0.34163748812963585,0.01323299082840672,0.01323299082840672,0.01323299082840672
spapros_0_HLCA_136,0.6495732936613774,0.5628282473298667,0.7972636693104843,0.6863533814612224,0.02265868332587169,0.02265868332587169,0.02265868332587169
spapros_2_HLCA_136,0.7097257924341935,0.6501130963578634,0.8167448960324507,0.7614134950082218,0.04826933355649914,0.04826933355649914,0.04826933355649914
spapros_3_HLCA_136,0.7469748738759092,0.7127831491386908,0.8277895454306236,0.7803744582913408,0.09801991087832704,0.09801991087832704,0.09801991087832704
spapros_4_HLCA_136,0.8129281529574055,0.7920489505874961,0.8406694014982269,0.8340054968939598,0.24184546269319762,0.24184546269319762,0.24184546269319762
spapros_5_HLCA_136,0.8745537650179853,0.8440942381682627,0.8563451777323486,0.8874622173055954,0.4431070012511457,0.4431070012511457,0.4431070012511457
spapros_6_HLCA_136,0.9005057238956329,0.8735097858207279,0.8572086617383351,0.8823633542241966,0.697048951113977,0.697048951113977,0.697048951113977
