,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_2_HLCA_136,0.8234945665194948,0.6870844304446141,0.0308263315946448,0.7150962019290228,0.6208339707894464,0.0308263315946448,0.0308263315946448
spapros_3_HLCA_136,0.8441956108820144,0.7557081437360054,0.0526770159152375,0.780084037924972,0.7044599722862459,0.0526770159152375,0.0526770159152375
spapros_4_HLCA_136,0.8673860488658796,0.824677396420088,0.1267464469933217,0.8600899208618371,0.8075746683816462,0.1267464469933217,0.1267464469933217
spapros_5_HLCA_136,0.8739354757555585,0.8509178536061534,0.255613177266867,0.8418904858688203,0.8483372014925734,0.255613177266867,0.255613177266867
spapros_6_HLCA_136,0.8831221453987632,0.8593896274671512,0.4805155092905021,0.9245453544637658,0.8730487256344386,0.4805155092905021,0.4805155092905021
spapros_10_HLCA_136,0.8851416558183337,0.8725146115482459,0.6203766383069867,0.9355599215176248,0.8877558285338025,0.6203766383069867,0.6203766383069867
spapros_11_HLCA_136,0.8893618424249019,0.8785255808749568,0.7367886564785108,0.9310863784496164,0.8894015658192895,0.7367886564785108,0.7367886564785108
spapros_7_HLCA_136,0.8934317759525369,0.8797545985334959,0.8384871265164346,0.9356329504077824,0.8911145898816268,0.8384871265164346,0.8384871265164346
spapros_1_HLCA_137,0.7485033332864769,0.4123390996078038,0.018535634866299,0.0663094239467254,0.3309260754279955,0.018535634866299,0.018535634866299
spapros_0_HLCA_137,0.8366311845454568,0.6962721436365646,0.0254223183314164,0.7479393287327262,0.6352266641519042,0.0254223183314164,0.0254223183314164
spapros_2_HLCA_137,0.8506635039036248,0.7583093157658197,0.0400237671818243,0.788862320007243,0.7120953173584563,0.0400237671818243,0.0400237671818243
spapros_3_HLCA_137,0.8676752512355212,0.81378146574003,0.0750670759658626,0.8605475770433209,0.7825823417900772,0.0750670759658626,0.0750670759658626
spapros_4_HLCA_137,0.8793946150233009,0.8484331336805494,0.1740918180246944,0.8907564107335696,0.8335922541593744,0.1740918180246944,0.1740918180246944
spapros_5_HLCA_137,0.8861543509300562,0.874839357324859,0.3239352682718882,0.909441565127258,0.8586210642823442,0.3239352682718882,0.3239352682718882
