,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap mean_overlap_AUC,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_4_HLCA_141,0.8997584102754066,0.8766083708528006,0.7994465278489116,0.8113410191983637,0.1399654243116693,0.1399654243116693,0.1399654243116693
spapros_5_HLCA_141,0.9049688926968095,0.8954551690880317,0.8779231117053694,0.8719687648992782,0.3163745710186473,0.3163745710186473,0.3163745710186473
spapros_6_HLCA_141,0.9092971871563338,0.9073891237925871,0.9128223092568419,0.8987247115098747,0.5984143895882775,0.5984143895882775,0.5984143895882775
spapros_10_HLCA_141,0.9149528577088606,0.9226804426738877,0.9162876252370877,0.9107867217954839,0.7646749998460359,0.7646749998460359,0.7646749998460359
spapros_11_HLCA_141,0.91523936029093,0.9231191482714167,0.9182386900436921,0.9083201042453393,0.865122081640679,0.865122081640679,0.865122081640679
spapros_7_HLCA_141,0.9159077291064401,0.9154732388256002,0.9178307320816661,0.9094819526768149,0.9336183296722788,0.9336183296722788,0.9336183296722788
spapros_1_HLCA_142,0.6751660531321744,0.3186985539056716,0.0865031543238387,0.24923443734008482,0.01138842305921199,0.01138842305921199,0.01138842305921199
spapros_0_HLCA_142,0.7810954370931008,0.5190757245346307,0.44256956147388554,0.39101641629732453,0.012436561840877854,0.012436561840877854,0.012436561840877854
spapros_2_HLCA_142,0.8328136077904081,0.6393057645748718,0.6100090804340899,0.581203194406061,0.021805398613056196,0.021805398613056196,0.021805398613056196
spapros_3_HLCA_142,0.8613435052362335,0.7121538173491446,0.7079103722043515,0.6718700241456501,0.03546366069226571,0.03546366069226571,0.03546366069226571
spapros_4_HLCA_142,0.8754902413466514,0.7710785548967521,0.8044248792039663,0.7777604551379909,0.08997736801850412,0.08997736801850412,0.08997736801850412
spapros_5_HLCA_142,0.8856717973378806,0.778339027752339,0.8663895850412531,0.8428150053824222,0.2026414030922158,0.2026414030922158,0.2026414030922158
spapros_6_HLCA_142,0.8954274446083443,0.8530056335481826,0.9019690265037362,0.8922408431094853,0.43572490805251207,0.43572490805251207,0.43572490805251207
spapros_10_HLCA_142,0.9027544220238436,0.8756480632475497,0.9042055604034289,0.8978135073708206,0.5964643525000716,0.5964643525000716,0.5964643525000716
spapros_11_HLCA_142,0.90739444355379,0.8924281990220317,0.90967750092976,0.9047363142775886,0.6844463672936951,0.6844463672936951,0.6844463672936951
spapros_7_HLCA_142,0.9083829999314882,0.8918704757602085,0.9138728523094333,0.9065314349354694,0.7618255466534697,0.7618255466534697,0.7618255466534697
pseudo_9_HLCA_132,0.917563682474398,0.9238559987583559,0.9269500667986219,0.9094933120602503,1.0,1.0,1.0
pseudo_9_HLCA_133,0.917563682474398,0.9238559987583559,0.9269500667986219,0.9094933120602503,1.0,1.0,1.0
