,knn_overlap mean_overlap_AUC,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_0_HLCA_68,,0.7521333065641799,0.46102865236650653,0.721469870353938,0.5863944086123978,,
spapros_0_HLCA_69,,0.7632477217476022,0.47579718760571305,0.7691384719238155,0.5723259598892495,,
spapros_0_HLCA_70,,0.7628625146791876,0.4655818665207755,0.7706965054202197,0.601364146794625,,
spapros_0_HLCA_71,,0.7987060228723197,0.5824029003377839,0.7585070918569655,0.6035216589799495,,
spapros_0_HLCA_72,,0.7537965925500104,0.5072018515046145,0.7390636474089926,0.5834519889317458,,
spapros_0_HLCA_73,,0.7579349029279122,0.44150096894924834,0.7345168246856777,0.5797728548323572,,
spapros_0_HLCA_74,,0.7944172957926536,0.5524612284830336,0.764092649597123,0.5966465618179164,,
spapros_0_HLCA_75,,0.7730684137272511,0.5118870912275197,0.7745622245647934,0.6007590929319229,,
spapros_0_HLCA_76,,0.7563757118139742,0.44507387668303094,0.7295605978582089,0.5846629048509591,,
spapros_0_HLCA_77,,0.7971060458875425,0.588833188446513,0.7562869735271841,0.579613579370009,,
spapros_0_HLCA_78,,0.7614654432419823,0.4971167340540395,0.7674036440925531,0.5937758329795508,,
spapros_0_HLCA_79,,0.7882768653475625,0.5566717951885286,0.6987505103730958,0.6002654165548075,,
spapros_0_HLCA_80,,0.7707503007949768,0.46041615990169693,0.7320607992786446,0.5751302147186709,,
spapros_0_HLCA_81,,0.7530871099041738,0.41318749774016256,0.7542571394470354,0.5672911398318802,,
